2025-08-26 15:30:49 | INFO     | app.main:lifespan:18 | Starting Agentic Backend v0.1.0
2025-08-26 15:30:49 | INFO     | app.main:lifespan:23 | Application startup complete
2025-08-26 15:30:51 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:30:51 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.004s
2025-08-26 15:31:21 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:31:21 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:31:26 | INFO     | app.api.middleware:dispatch:17 | Request: GET /docs
2025-08-26 15:31:26 | INFO     | app.api.middleware:dispatch:34 | Response: 404 - 0.002s
2025-08-26 15:31:27 | INFO     | app.api.middleware:dispatch:17 | Request: GET /favicon.ico
2025-08-26 15:31:27 | INFO     | app.api.middleware:dispatch:34 | Response: 404 - 0.001s
2025-08-26 15:31:28 | INFO     | app.api.middleware:dispatch:17 | Request: GET /docs
2025-08-26 15:31:28 | INFO     | app.api.middleware:dispatch:34 | Response: 404 - 0.001s
2025-08-26 15:31:51 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:31:51 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:32:21 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:32:21 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:32:52 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:32:52 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:33:22 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:33:22 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:33:52 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:33:52 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:34:22 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:34:22 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:34:52 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:34:52 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:35:22 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:35:22 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:35:52 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:35:52 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
2025-08-26 15:35:53 | INFO     | app.main:lifespan:30 | Shutting down application
2025-08-26 15:36:31 | INFO     | app.main:lifespan:18 | Starting Agentic Backend v0.1.0
2025-08-26 15:36:31 | INFO     | app.main:lifespan:23 | Application startup complete
2025-08-26 15:36:33 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:36:33 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.004s
2025-08-26 15:37:03 | INFO     | app.api.middleware:dispatch:17 | Request: GET /api/v1/health
2025-08-26 15:37:03 | INFO     | app.api.middleware:dispatch:34 | Response: 200 - 0.002s
